nbrkbrnq,3578740,4796336,8703738,9887800,21191875,33326904,42907954,47736068,68862120,95808162,113196953
rkqbbnrn,2651776,6015414,9248180,12290237,22628574,31342653,35374170,55121640,72226622,160718179,194213494
rnbqkbnr,1504284,3168396,3898518,5354837,6300391,9226135,13291389,17614230,22949203,27545670,52979471
