|  SP | White    | Black    | Chess960FEN                                                   |
| 169 | NRNBBKQR | nrnbbkqr | [FEN "nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w HBhb - 0 1"] |
| 170 | NRNKBBQR | nrnkbbqr | [FEN "nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w HBhb - 0 1"] |
| 171 | NRNKBQRB | nrnkbqrb | [FEN "nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w GBgb - 0 1"] |
| 172 | NBRNKQBR | nbrnkqbr | [FEN "nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w HChc - 0 1"] |
| 173 | NRNBKQBR | nrnbkqbr | [FEN "nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w HBhb - 0 1"] |
| 174 | NRNKQBBR | nrnkqbbr | [FEN "nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w HBhb - 0 1"] |
| 175 | NRNKQRBB | nrnkqrbb | [FEN "nrnkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKQRBB w FBfb - 0 1"] |
| 176 | BBNRNKRQ | bbnrnkrq | [FEN "bbnrnkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKRQ w GDgd - 0 1"] |
| 177 | BNRBNKRQ | bnrbnkrq | [FEN "bnrbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKRQ w GCgc - 0 1"] |
| 178 | BNRNKBRQ | bnrnkbrq | [FEN "bnrnkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBRQ w GCgc - 0 1"] |
| 179 | BNRNKRQB | bnrnkrqb | [FEN "bnrnkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKRQB w FCfc - 0 1"] |
| 180 | NBBRNKRQ | nbbrnkrq | [FEN "nbbrnkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKRQ w GDgd - 0 1"] |
| 181 | NRBBNKRQ | nrbbnkrq | [FEN "nrbbnkrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKRQ w GBgb - 0 1"] |
| 182 | NRBNKBRQ | nrbnkbrq | [FEN "nrbnkbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBRQ w GBgb - 0 1"] |
| 183 | NRBNKRQB | nrbnkrqb | [FEN "nrbnkrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKRQB w FBfb - 0 1"] |
| 184 | NBRNBKRQ | nbrnbkrq | [FEN "nbrnbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKRQ w GCgc - 0 1"] |
| 185 | NRNBBKRQ | nrnbbkrq | [FEN "nrnbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKRQ w GBgb - 0 1"] |
| 186 | NRNKBBRQ | nrnkbbrq | [FEN "nrnkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBRQ w GBgb - 0 1"] |
| 187 | NRNKBRQB | nrnkbrqb | [FEN "nrnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBRQB w FBfb - 0 1"] |
| 188 | NBRNKRBQ | nbrnkrbq | [FEN "nbrnkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRNKRBQ w FCfc - 0 1"] |
| 189 | NRNBKRBQ | nrnbkrbq | [FEN "nrnbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NRNBKRBQ w FBfb - 0 1"] |
| 190 | NRNKRBBQ | nrnkrbbq | [FEN "nrnkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRNKRBBQ w EBeb - 0 1"] |
| 191 | NRNKRQBB | nrnkrqbb | [FEN "nrnkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRNKRQBB w EBeb - 0 1"] |
| 192 | BBQNRKNR | bbqnrknr | [FEN "bbqnrknr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKNR w HEhe - 0 1"] |
| 193 | BQNBRKNR | bqnbrknr | [FEN "bqnbrknr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKNR w HEhe - 0 1"] |
| 194 | BQNRKBNR | bqnrkbnr | [FEN "bqnrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBNR w HDhd - 0 1"] |
| 195 | BQNRKNRB | bqnrknrb | [FEN "bqnrknrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKNRB w GDgd - 0 1"] |
| 196 | QBBNRKNR | qbbnrknr | [FEN "qbbnrknr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKNR w HEhe - 0 1"] |
| 197 | QNBBRKNR | qnbbrknr | [FEN "qnbbrknr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKNR w HEhe - 0 1"] |
| 198 | QNBRKBNR | qnbrkbnr | [FEN "qnbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBNR w HDhd - 0 1"] |
| 199 | QNBRKNRB | qnbrknrb | [FEN "qnbrknrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKNRB w GDgd - 0 1"] |
| 200 | QBNRBKNR | qbnrbknr | [FEN "qbnrbknr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKNR w HDhd - 0 1"] |
| 201 | QNRBBKNR | qnrbbknr | [FEN "qnrbbknr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKNR w HChc - 0 1"] |
| 202 | QNRKBBNR | qnrkbbnr | [FEN "qnrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBNR w HChc - 0 1"] |
| 203 | QNRKBNRB | qnrkbnrb | [FEN "qnrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBNRB w GCgc - 0 1"] |
| 204 | QBNRKNBR | qbnrknbr | [FEN "qbnrknbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRKNBR w HDhd - 0 1"] |
| 205 | QNRBKNBR | qnrbknbr | [FEN "qnrbknbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBKNBR w HChc - 0 1"] |
| 206 | QNRKNBBR | qnrknbbr | [FEN "qnrknbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRKNBBR w HChc - 0 1"] |
| 207 | QNRKNRBB | qnrknrbb | [FEN "qnrknrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKNRBB w FCfc - 0 1"] |
| 208 | BBNQRKNR | bbnqrknr | [FEN "bbnqrknr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKNR w HEhe - 0 1"] |
| 209 | BNQBRKNR | bnqbrknr | [FEN "bnqbrknr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKNR w HEhe - 0 1"] |
| 210 | BNQRKBNR | bnqrkbnr | [FEN "bnqrkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBNR w HDhd - 0 1"] |
| 211 | BNQRKNRB | bnqrknrb | [FEN "bnqrknrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKNRB w GDgd - 0 1"] |
| 212 | NBBQRKNR | nbbqrknr | [FEN "nbbqrknr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKNR w HEhe - 0 1"] |
| 213 | NQBBRKNR | nqbbrknr | [FEN "nqbbrknr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRKNR w HEhe - 0 1"] |
| 214 | NQBRKBNR | nqbrkbnr | [FEN "nqbrkbnr/pppppppp/8/8/8/8/PPPPPPPP/NQBRKBNR w HDhd - 0 1"] |
| 215 | NQBRKNRB | nqbrknrb | [FEN "nqbrknrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRKNRB w GDgd - 0 1"] |
| 216 | NBQRBKNR | nbqrbknr | [FEN "nbqrbknr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBKNR w HDhd - 0 1"] |
| 217 | NQRBBKNR | nqrbbknr | [FEN "nqrbbknr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBKNR w HChc - 0 1"] |
| 218 | NQRKBBNR | nqrkbbnr | [FEN "nqrkbbnr/pppppppp/8/8/8/8/PPPPPPPP/NQRKBBNR w HChc - 0 1"] |
| 219 | NQRKBNRB | nqrkbnrb | [FEN "nqrkbnrb/pppppppp/8/8/8/8/PPPPPPPP/NQRKBNRB w GCgc - 0 1"] |
| 220 | NBQRKNBR | nbqrknbr | [FEN "nbqrknbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRKNBR w HDhd - 0 1"] |
| 221 | NQRBKNBR | nqrbknbr | [FEN "nqrbknbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBKNBR w HChc - 0 1"] |
| 222 | NQRKNBBR | nqrknbbr | [FEN "nqrknbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRKNBBR w HChc - 0 1"] |
| 223 | NQRKNRBB | nqrknrbb | [FEN "nqrknrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKNRBB w FCfc - 0 1"] |
| 224 | BBNRQKNR | bbnrqknr | [FEN "bbnrqknr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQKNR w HDhd - 0 1"] |
| 225 | BNRBQKNR | bnrbqknr | [FEN "bnrbqknr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQKNR w HChc - 0 1"] |
| 226 | BNRQKBNR | bnrqkbnr | [FEN "bnrqkbnr/pppppppp/8/8/8/8/PPPPPPPP/BNRQKBNR w HChc - 0 1"] |
| 227 | BNRQKNRB | bnrqknrb | [FEN "bnrqknrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQKNRB w GCgc - 0 1"] |
| 228 | NBBRQKNR | nbbrqknr | [FEN "nbbrqknr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQKNR w HDhd - 0 1"] |
| 229 | NRBBQKNR | nrbbqknr | [FEN "nrbbqknr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQKNR w HBhb - 0 1"] |
| 230 | NRBQKBNR | nrbqkbnr | [FEN "nrbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/NRBQKBNR w HBhb - 0 1"] |
| 231 | NRBQKNRB | nrbqknrb | [FEN "nrbqknrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQKNRB w GBgb - 0 1"] |
| 232 | NBRQBKNR | nbrqbknr | [FEN "nbrqbknr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBKNR w HChc - 0 1"] |
| 233 | NRQBBKNR | nrqbbknr | [FEN "nrqbbknr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBKNR w HBhb - 0 1"] |
| 234 | NRQKBBNR | nrqkbbnr | [FEN "nrqkbbnr/pppppppp/8/8/8/8/PPPPPPPP/NRQKBBNR w HBhb - 0 1"] |
| 235 | NRQKBNRB | nrqkbnrb | [FEN "nrqkbnrb/pppppppp/8/8/8/8/PPPPPPPP/NRQKBNRB w GBgb - 0 1"] |
| 236 | NBRQKNBR | nbrqknbr | [FEN "nbrqknbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQKNBR w HChc - 0 1"] |
| 237 | NRQBKNBR | nrqbknbr | [FEN "nrqbknbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBKNBR w HBhb - 0 1"] |
| 238 | NRQKNBBR | nrqknbbr | [FEN "nrqknbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQKNBBR w HBhb - 0 1"] |
| 239 | NRQKNRBB | nrqknrbb | [FEN "nrqknrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQKNRBB w FBfb - 0 1"] |
| 240 | BBNRKQNR | bbnrkqnr | [FEN "bbnrkqnr/pppppppp/8/8/8/8/PPPPPPPP/BBNRKQNR w HDhd - 0 1"] |
| 241 | BNRBKQNR | bnrbkqnr | [FEN "bnrbkqnr/pppppppp/8/8/8/8/PPPPPPPP/BNRBKQNR w HChc - 0 1"] |
| 242 | BNRKQBNR | bnrkqbnr | [FEN "bnrkqbnr/pppppppp/8/8/8/8/PPPPPPPP/BNRKQBNR w HChc - 0 1"] |
| 243 | BNRKQNRB | bnrkqnrb | [FEN "bnrkqnrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKQNRB w GCgc - 0 1"] |
| 244 | NBBRKQNR | nbbrkqnr | [FEN "nbbrkqnr/pppppppp/8/8/8/8/PPPPPPPP/NBBRKQNR w HDhd - 0 1"] |
| 245 | NRBBKQNR | nrbbkqnr | [FEN "nrbbkqnr/pppppppp/8/8/8/8/PPPPPPPP/NRBBKQNR w HBhb - 0 1"] |
| 246 | NRBKQBNR | nrbkqbnr | [FEN "nrbkqbnr/pppppppp/8/8/8/8/PPPPPPPP/NRBKQBNR w HBhb - 0 1"] |
| 247 | NRBKQNRB | nrbkqnrb | [FEN "nrbkqnrb/pppppppp/8/8/8/8/PPPPPPPP/NRBKQNRB w GBgb - 0 1"] |
| 248 | NBRKBQNR | nbrkbqnr | [FEN "nbrkbqnr/pppppppp/8/8/8/8/PPPPPPPP/NBRKBQNR w HChc - 0 1"] |
| 249 | NRKBBQNR | nrkbbqnr | [FEN "nrkbbqnr/pppppppp/8/8/8/8/PPPPPPPP/NRKBBQNR w HBhb - 0 1"] |
| 250 | NRKQBBNR | nrkqbbnr | [FEN "nrkqbbnr/pppppppp/8/8/8/8/PPPPPPPP/NRKQBBNR w HBhb - 0 1"] |
| 251 | NRKQBNRB | nrkqbnrb | [FEN "nrkqbnrb/pppppppp/8/8/8/8/PPPPPPPP/NRKQBNRB w GBgb - 0 1"] |
| 252 | NBRKQNBR | nbrkqnbr | [FEN "nbrkqnbr/pppppppp/8/8/8/8/PPPPPPPP/NBRKQNBR w HChc - 0 1"] |
| 253 | NRKBQNBR | nrkbqnbr | [FEN "nrkbqnbr/pppppppp/8/8/8/8/PPPPPPPP/NRKBQNBR w HBhb - 0 1"] |
| 254 | NRKQNBBR | nrkqnbbr | [FEN "nrkqnbbr/pppppppp/8/8/8/8/PPPPPPPP/NRKQNBBR w HBhb - 0 1"] |
| 255 | NRKQNRBB | nrkqnrbb | [FEN "nrkqnrbb/pppppppp/8/8/8/8/PPPPPPPP/NRKQNRBB w FBfb - 0 1"] |
| 256 | BBNRKNQR | bbnrknqr | [FEN "bbnrknqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRKNQR w HDhd - 0 1"] |
| 257 | BNRBKNQR | bnrbknqr | [FEN "bnrbknqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBKNQR w HChc - 0 1"] |
| 258 | BNRKNBQR | bnrknbqr | [FEN "bnrknbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRKNBQR w HChc - 0 1"] |
| 259 | BNRKNQRB | bnrknqrb | [FEN "bnrknqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKNQRB w GCgc - 0 1"] |
| 260 | NBBRKNQR | nbbrknqr | [FEN "nbbrknqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRKNQR w HDhd - 0 1"] |
| 261 | NRBBKNQR | nrbbknqr | [FEN "nrbbknqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBKNQR w HBhb - 0 1"] |
| 262 | NRBKNBQR | nrbknbqr | [FEN "nrbknbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBKNBQR w HBhb - 0 1"] |
| 263 | NRBKNQRB | nrbknqrb | [FEN "nrbknqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBKNQRB w GBgb - 0 1"] |
| 264 | NBRKBNQR | nbrkbnqr | [FEN "nbrkbnqr/pppppppp/8/8/8/8/PPPPPPPP/NBRKBNQR w HChc - 0 1"] |
| 265 | NRKBBNQR | nrkbbnqr | [FEN "nrkbbnqr/pppppppp/8/8/8/8/PPPPPPPP/NRKBBNQR w HBhb - 0 1"] |
| 266 | NRKNBBQR | nrknbbqr | [FEN "nrknbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRKNBBQR w HBhb - 0 1"] |
| 267 | NRKNBQRB | nrknbqrb | [FEN "nrknbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRKNBQRB w GBgb - 0 1"] |
| 268 | NBRKNQBR | nbrknqbr | [FEN "nbrknqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRKNQBR w HChc - 0 1"] |
| 269 | NRKBNQBR | nrkbnqbr | [FEN "nrkbnqbr/pppppppp/8/8/8/8/PPPPPPPP/NRKBNQBR w HBhb - 0 1"] |
| 270 | NRKNQBBR | nrknqbbr | [FEN "nrknqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRKNQBBR w HBhb - 0 1"] |
| 271 | NRKNQRBB | nrknqrbb | [FEN "nrknqrbb/pppppppp/8/8/8/8/PPPPPPPP/NRKNQRBB w FBfb - 0 1"] |
| 272 | BBNRKNRQ | bbnrknrq | [FEN "bbnrknrq/pppppppp/8/8/8/8/PPPPPPPP/BBNRKNRQ w GDgd - 0 1"] |
| 273 | BNRBKNRQ | bnrbknrq | [FEN "bnrbknrq/pppppppp/8/8/8/8/PPPPPPPP/BNRBKNRQ w GCgc - 0 1"] |
| 274 | BNRKNBRQ | bnrknbrq | [FEN "bnrknbrq/pppppppp/8/8/8/8/PPPPPPPP/BNRKNBRQ w GCgc - 0 1"] |
| 275 | BNRKNRQB | bnrknrqb | [FEN "bnrknrqb/pppppppp/8/8/8/8/PPPPPPPP/BNRKNRQB w FCfc - 0 1"] |
| 276 | NBBRKNRQ | nbbrknrq | [FEN "nbbrknrq/pppppppp/8/8/8/8/PPPPPPPP/NBBRKNRQ w GDgd - 0 1"] |
| 277 | NRBBKNRQ | nrbbknrq | [FEN "nrbbknrq/pppppppp/8/8/8/8/PPPPPPPP/NRBBKNRQ w GBgb - 0 1"] |
| 278 | NRBKNBRQ | nrbknbrq | [FEN "nrbknbrq/pppppppp/8/8/8/8/PPPPPPPP/NRBKNBRQ w GBgb - 0 1"] |
| 279 | NRBKNRQB | nrbknrqb | [FEN "nrbknrqb/pppppppp/8/8/8/8/PPPPPPPP/NRBKNRQB w FBfb - 0 1"] |
| 280 | NBRKBNRQ | nbrkbnrq | [FEN "nbrkbnrq/pppppppp/8/8/8/8/PPPPPPPP/NBRKBNRQ w GCgc - 0 1"] |
| 281 | NRKBBNRQ | nrkbbnrq | [FEN "nrkbbnrq/pppppppp/8/8/8/8/PPPPPPPP/NRKBBNRQ w GBgb - 0 1"] |
| 282 | NRKNBBRQ | nrknbbrq | [FEN "nrknbbrq/pppppppp/8/8/8/8/PPPPPPPP/NRKNBBRQ w GBgb - 0 1"] |
| 283 | NRKNBRQB | nrknbrqb | [FEN "nrknbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRKNBRQB w FBfb - 0 1"] |
| 284 | NBRKNRBQ | nbrknrbq | [FEN "nbrknrbq/pppppppp/8/8/8/8/PPPPPPPP/NBRKNRBQ w FCfc - 0 1"] |
| 285 | NRKBNRBQ | nrkbnrbq | [FEN "nrkbnrbq/pppppppp/8/8/8/8/PPPPPPPP/NRKBNRBQ w FBfb - 0 1"] |
| 286 | NRKNRBBQ | nrknrbbq | [FEN "nrknrbbq/pppppppp/8/8/8/8/PPPPPPPP/NRKNRBBQ w EBeb - 0 1"] |
| 287 | NRKNRQBB | nrknrqbb | [FEN "nrknrqbb/pppppppp/8/8/8/8/PPPPPPPP/NRKNRQBB w EBeb - 0 1"] |
| 288 | BBQNRKRN | bbqnrkrn | [FEN "bbqnrkrn/pppppppp/8/8/8/8/PPPPPPPP/BBQNRKRN w GEge - 0 1"] |
| 289 | BQNBRKRN | bqnbrkrn | [FEN "bqnbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BQNBRKRN w GEge - 0 1"] |
| 290 | BQNRKBRN | bqnrkbrn | [FEN "bqnrkbrn/pppppppp/8/8/8/8/PPPPPPPP/BQNRKBRN w GDgd - 0 1"] |
| 291 | BQNRKRNB | bqnrkrnb | [FEN "bqnrkrnb/pppppppp/8/8/8/8/PPPPPPPP/BQNRKRNB w FDfd - 0 1"] |
| 292 | QBBNRKRN | qbbnrkrn | [FEN "qbbnrkrn/pppppppp/8/8/8/8/PPPPPPPP/QBBNRKRN w GEge - 0 1"] |
| 293 | QNBBRKRN | qnbbrkrn | [FEN "qnbbrkrn/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKRN w GEge - 0 1"] |
| 294 | QNBRKBRN | qnbrkbrn | [FEN "qnbrkbrn/pppppppp/8/8/8/8/PPPPPPPP/QNBRKBRN w GDgd - 0 1"] |
| 295 | QNBRKRNB | qnbrkrnb | [FEN "qnbrkrnb/pppppppp/8/8/8/8/PPPPPPPP/QNBRKRNB w FDfd - 0 1"] |
| 296 | QBNRBKRN | qbnrbkrn | [FEN "qbnrbkrn/pppppppp/8/8/8/8/PPPPPPPP/QBNRBKRN w GDgd - 0 1"] |
| 297 | QNRBBKRN | qnrbbkrn | [FEN "qnrbbkrn/pppppppp/8/8/8/8/PPPPPPPP/QNRBBKRN w GCgc - 0 1"] |
| 298 | QNRKBBRN | qnrkbbrn | [FEN "qnrkbbrn/pppppppp/8/8/8/8/PPPPPPPP/QNRKBBRN w GCgc - 0 1"] |
| 299 | QNRKBRNB | qnrkbrnb | [FEN "qnrkbrnb/pppppppp/8/8/8/8/PPPPPPPP/QNRKBRNB w FCfc - 0 1"] |
| 300 | QBNRKRBN | qbnrkrbn | [FEN "qbnrkrbn/pppppppp/8/8/8/8/PPPPPPPP/QBNRKRBN w FDfd - 0 1"] |
| 301 | QNRBKRBN | qnrbkrbn | [FEN "qnrbkrbn/pppppppp/8/8/8/8/PPPPPPPP/QNRBKRBN w FCfc - 0 1"] |
| 302 | QNRKRBBN | qnrkrbbn | [FEN "qnrkrbbn/pppppppp/8/8/8/8/PPPPPPPP/QNRKRBBN w ECec - 0 1"] |
| 303 | QNRKRNBB | qnrkrnbb | [FEN "qnrkrnbb/pppppppp/8/8/8/8/PPPPPPPP/QNRKRNBB w ECec - 0 1"] |
| 304 | BBNQRKRN | bbnqrkrn | [FEN "bbnqrkrn/pppppppp/8/8/8/8/PPPPPPPP/BBNQRKRN w GEge - 0 1"] |
| 305 | BNQBRKRN | bnqbrkrn | [FEN "bnqbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKRN w GEge - 0 1"] |
| 306 | BNQRKBRN | bnqrkbrn | [FEN "bnqrkbrn/pppppppp/8/8/8/8/PPPPPPPP/BNQRKBRN w GDgd - 0 1"] |
| 307 | BNQRKRNB | bnqrkrnb | [FEN "bnqrkrnb/pppppppp/8/8/8/8/PPPPPPPP/BNQRKRNB w FDfd - 0 1"] |
| 308 | NBBQRKRN | nbbqrkrn | [FEN "nbbqrkrn/pppppppp/8/8/8/8/PPPPPPPP/NBBQRKRN w GEge - 0 1"] |
| 309 | NQBBRKRN | nqbbrkrn | [FEN "nqbbrkrn/pppppppp/8/8/8/8/PPPPPPPP/NQBBRKRN w GEge - 0 1"] |
| 310 | NQBRKBRN | nqbrkbrn | [FEN "nqbrkbrn/pppppppp/8/8/8/8/PPPPPPPP/NQBRKBRN w GDgd - 0 1"] |
| 311 | NQBRKRNB | nqbrkrnb | [FEN "nqbrkrnb/pppppppp/8/8/8/8/PPPPPPPP/NQBRKRNB w FDfd - 0 1"] |
| 312 | NBQRBKRN | nbqrbkrn | [FEN "nbqrbkrn/pppppppp/8/8/8/8/PPPPPPPP/NBQRBKRN w GDgd - 0 1"] |
| 313 | NQRBBKRN | nqrbbkrn | [FEN "nqrbbkrn/pppppppp/8/8/8/8/PPPPPPPP/NQRBBKRN w GCgc - 0 1"] |
| 314 | NQRKBBRN | nqrkbbrn | [FEN "nqrkbbrn/pppppppp/8/8/8/8/PPPPPPPP/NQRKBBRN w GCgc - 0 1"] |
| 315 | NQRKBRNB | nqrkbrnb | [FEN "nqrkbrnb/pppppppp/8/8/8/8/PPPPPPPP/NQRKBRNB w FCfc - 0 1"] |
| 316 | NBQRKRBN | nbqrkrbn | [FEN "nbqrkrbn/pppppppp/8/8/8/8/PPPPPPPP/NBQRKRBN w FDfd - 0 1"] |
| 317 | NQRBKRBN | nqrbkrbn | [FEN "nqrbkrbn/pppppppp/8/8/8/8/PPPPPPPP/NQRBKRBN w FCfc - 0 1"] |
| 318 | NQRKRBBN | nqrkrbbn | [FEN "nqrkrbbn/pppppppp/8/8/8/8/PPPPPPPP/NQRKRBBN w ECec - 0 1"] |
| 319 | NQRKRNBB | nqrkrnbb | [FEN "nqrkrnbb/pppppppp/8/8/8/8/PPPPPPPP/NQRKRNBB w ECec - 0 1"] |
| 320 | BBNRQKRN | bbnrqkrn | [FEN "bbnrqkrn/pppppppp/8/8/8/8/PPPPPPPP/BBNRQKRN w GDgd - 0 1"] |
| 321 | BNRBQKRN | bnrbqkrn | [FEN "bnrbqkrn/pppppppp/8/8/8/8/PPPPPPPP/BNRBQKRN w GCgc - 0 1"] |
| 322 | BNRQKBRN | bnrqkbrn | [FEN "bnrqkbrn/pppppppp/8/8/8/8/PPPPPPPP/BNRQKBRN w GCgc - 0 1"] |
| 323 | BNRQKRNB | bnrqkrnb | [FEN "bnrqkrnb/pppppppp/8/8/8/8/PPPPPPPP/BNRQKRNB w FCfc - 0 1"] |
| 324 | NBBRQKRN | nbbrqkrn | [FEN "nbbrqkrn/pppppppp/8/8/8/8/PPPPPPPP/NBBRQKRN w GDgd - 0 1"] |
| 325 | NRBBQKRN | nrbbqkrn | [FEN "nrbbqkrn/pppppppp/8/8/8/8/PPPPPPPP/NRBBQKRN w GBgb - 0 1"] |
| 326 | NRBQKBRN | nrbqkbrn | [FEN "nrbqkbrn/pppppppp/8/8/8/8/PPPPPPPP/NRBQKBRN w GBgb - 0 1"] |
| 327 | NRBQKRNB | nrbqkrnb | [FEN "nrbqkrnb/pppppppp/8/8/8/8/PPPPPPPP/NRBQKRNB w FBfb - 0 1"] |
| 328 | NBRQBKRN | nbrqbkrn | [FEN "nbrqbkrn/pppppppp/8/8/8/8/PPPPPPPP/NBRQBKRN w GCgc - 0 1"] |
| 329 | NRQBBKRN | nrqbbkrn | [FEN "nrqbbkrn/pppppppp/8/8/8/8/PPPPPPPP/NRQBBKRN w GBgb - 0 1"] |
| 330 | NRQKBBRN | nrqkbbrn | [FEN "nrqkbbrn/pppppppp/8/8/8/8/PPPPPPPP/NRQKBBRN w GBgb - 0 1"] |
| 331 | NRQKBRNB | nrqkbrnb | [FEN "nrqkbrnb/pppppppp/8/8/8/8/PPPPPPPP/NRQKBRNB w FBfb - 0 1"] |
| 332 | NBRQKRBN | nbrqkrbn | [FEN "nbrqkrbn/pppppppp/8/8/8/8/PPPPPPPP/NBRQKRBN w FCfc - 0 1"] |
| 333 | NRQBKRBN | nrqbkrbn | [FEN "nrqbkrbn/pppppppp/8/8/8/8/PPPPPPPP/NRQBKRBN w FBfb - 0 1"] |
| 334 | NRQKRBBN | nrqkrbbn | [FEN "nrqkrbbn/pppppppp/8/8/8/8/PPPPPPPP/NRQKRBBN w EBeb - 0 1"] |
| 335 | NRQKRNBB | nrqkrnbb | [FEN "nrqkrnbb/pppppppp/8/8/8/8/PPPPPPPP/NRQKRNBB w EBeb - 0 1"] |
| 336 | BBNRKQRN | bbnrkqrn | [FEN "bbnrkqrn/pppppppp/8/8/8/8/PPPPPPPP/BBNRKQRN w GDgd - 0 1"] |
| 337 | BNRBKQRN | bnrbkqrn | [FEN "bnrbkqrn/pppppppp/8/8/8/8/PPPPPPPP/BNRBKQRN w GCgc - 0 1"] |
| 338 | BNRKQBRN | bnrkqbrn | [FEN "bnrkqbrn/pppppppp/8/8/8/8/PPPPPPPP/BNRKQBRN w GCgc - 0 1"] |
| 339 | BNRKQRNB | bnrkqrnb | [FEN "bnrkqrnb/pppppppp/8/8/8/8/PPPPPPPP/BNRKQRNB w FCfc - 0 1"] |
