|  SP | White    | Black    | Chess960FEN                                                   |
|  38 | NNBQRBKR | nnbqrbkr | [FEN "nnbqrbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBQRBKR w HEhe - 0 1"] |
|  39 | NNBQRKRB | nnbqrkrb | [FEN "nnbqrkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBQRKRB w GEge - 0 1"] |
|  40 | NBNQBRKR | nbnqbrkr | [FEN "nbnqbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBNQBRKR w HFhf - 0 1"] |
|  41 | NNQBBRKR | nnqbbrkr | [FEN "nnqbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NNQBBRKR w HFhf - 0 1"] |
|  42 | NNQRBBKR | nnqrbbkr | [FEN "nnqrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNQRBBKR w HDhd - 0 1"] |
|  43 | NNQRBKRB | nnqrbkrb | [FEN "nnqrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNQRBKRB w GDgd - 0 1"] |
|  44 | NBNQRKBR | nbnqrkbr | [FEN "nbnqrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNQRKBR w HEhe - 0 1"] |
|  45 | NNQBRKBR | nnqbrkbr | [FEN "nnqbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NNQBRKBR w HEhe - 0 1"] |
|  46 | NNQRKBBR | nnqrkbbr | [FEN "nnqrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNQRKBBR w HDhd - 0 1"] |
|  47 | NNQRKRBB | nnqrkrbb | [FEN "nnqrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNQRKRBB w FDfd - 0 1"] |
|  48 | BBNNRQKR | bbnnrqkr | [FEN "bbnnrqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRQKR w HEhe - 0 1"] |
|  49 | BNNBRQKR | bnnbrqkr | [FEN "bnnbrqkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRQKR w HEhe - 0 1"] |
|  50 | BNNRQBKR | bnnrqbkr | [FEN "bnnrqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNRQBKR w HDhd - 0 1"] |
|  51 | BNNRQKRB | bnnrqkrb | [FEN "bnnrqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRQKRB w GDgd - 0 1"] |
|  52 | NBBNRQKR | nbbnrqkr | [FEN "nbbnrqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRQKR w HEhe - 0 1"] |
|  53 | NNBBRQKR | nnbbrqkr | [FEN "nnbbrqkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRQKR w HEhe - 0 1"] |
|  54 | NNBRQBKR | nnbrqbkr | [FEN "nnbrqbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBRQBKR w HDhd - 0 1"] |
|  55 | NNBRQKRB | nnbrqkrb | [FEN "nnbrqkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRQKRB w GDgd - 0 1"] |
|  56 | NBNRBQKR | nbnrbqkr | [FEN "nbnrbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBQKR w HDhd - 0 1"] |
|  57 | NNRBBQKR | nnrbbqkr | [FEN "nnrbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBQKR w HChc - 0 1"] |
|  58 | NNRQBBKR | nnrqbbkr | [FEN "nnrqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNRQBBKR w HChc - 0 1"] |
|  59 | NNRQBKRB | nnrqbkrb | [FEN "nnrqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNRQBKRB w GCgc - 0 1"] |
|  60 | NBNRQKBR | nbnrqkbr | [FEN "nbnrqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRQKBR w HDhd - 0 1"] |
|  61 | NNRBQKBR | nnrbqkbr | [FEN "nnrbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBQKBR w HChc - 0 1"] |
|  62 | NNRQKBBR | nnrqkbbr | [FEN "nnrqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRQKBBR w HChc - 0 1"] |
|  63 | NNRQKRBB | nnrqkrbb | [FEN "nnrqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRQKRBB w FCfc - 0 1"] |
